ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000017	Shigella virG mutant interaction with monkey epithelial cell	35	OGG_3000876473	virG	Shigella	620	monkey	9479	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell		
OHPI_9000018	Shigella ipgB mutant interaction with mouse	36	OGG_3000876493	ipgB	Shigella	620	mouse	10090				
OHPI_9000019	Shigella ipgB mutant interaction with mouse epithelial cell	36	OGG_3000876493	ipgB	Shigella	620	mouse	10090	http://purl.obolibrary.org/obo/CL_0000066	epithelial cell		
OHPI_9000020	Shigella ipaH9.8 mutant interaction with mouse	53	OGG_3000876625	ipaH9.8	Shigella	620	mouse	10090				
OHPI_9000021	Shigella sepA mutant interaction with rabbit	55	OGG_3000876712	sepA	Shigella	620	rabbit	9986				
OHPI_9000022	Shigella IpaH7.8 mutant interaction with mouse	56	OGG_3000876715	IpaH7.8	Shigella	620	mouse	10090				
OHPI_9000023	Shigella IpaH7.8 mutant interaction with mouse macrophage cell	56	OGG_3000876715	IpaH7.8	Shigella	620	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000024	M. tuberculosis sigF mutant interaction with mouse	57	OGG_3000922492	sigF	M. tuberculosis	1773	mouse	10090				
OHPI_9000025	M. tuberculosis fbpA mutant interaction with mouse	58	OGG_3000922599	fbpA	M. tuberculosis	1773	mouse	10090				
OHPI_9000026	M. tuberculosis panD mutant interaction with mouse	59	OGG_3000922795	panD	M. tuberculosis	1773	mouse	10090				
OHPI_9000027	M. tuberculosis sigH mutant interaction with mouse	60	OGG_3000922907	sigH	M. tuberculosis	1773	mouse	10090				
OHPI_9000028	M. tuberculosis MT3523 mutant interaction with human	61	OGG_3000923111	MT3523	M. tuberculosis	1773	human	9606				
OHPI_9000029	M. tuberculosis MT3523 mutant interaction with human macrophage cell	61	OGG_3000923111	MT3523	M. tuberculosis	1773	human	9606	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
OHPI_9000030	M. tuberculosis MT3523 mutant interaction with mouse	61	OGG_3000923111	MT3523	M. tuberculosis	1773	mouse	10090				
OHPI_9000031	M. tuberculosis MT3523 mutant interaction with mouse macrophage cell	61	OGG_3000923111	MT3523	M. tuberculosis	1773	mouse	10090	http://purl.obolibrary.org/obo/CL_0000235	macrophage cell		
